opinion,respuesta,sentimiento_predicho,rank
1,No porque pues deberíamos... todo eso se tiene que consultar antes para verlo de la seguridad.,negativo,2
2,Representa más beneficios en cuanto a ciertas cosas dependiendo de... ¿te puede ayudar o te puede facilitar más las tareas? ,neutro,3
3,Pensaría en el peor escenario porque al día de hoy no están tan desarrollados los modelos como para confiar la seguridad física de una persona.,negativo,2
4,Dudaría de la experiencia porque todo se basa en los errores humanos y aprender de ellos para que puedas saber si es verídico o no el resultado.,negativo,2
5,Confiado porque estaría tomando datos veraces,positivo,4
6,Me sentiria ofendido  Porque tal vez no conoce todos los antecedentes que hay.,negativo,2
7,Me sentiría invadido porque estarían expuestos mis datos ante cualquier persona que pueda infiltrarse.,negativo,1
8,Me sentiría observado porque estaría llociendo objeto de un caso de estudio.,negativo,2
9,No porque no creo que tenga el razonamiento necesario para una decisión así.,negativo,2
10,Más beneficios pero nunca hay que dejar de lado los riesgos.,neutro,3
11,Es una emoción entre tranquilidad y nerviosismo porque nunca se sabe nada.,positivo,5
12,No lo sé tal vez confiaría porque aunque no es necesario que gano es tan actualizado la información sobre eso pero luego tendríamos de haber conexión de IA's que lo hagan.,negativo,2
13,Bien porque puse que la IA está mediante cálculos y todo.,neutro,3
14,Pues es la misma respuesta. La IA detrás de todo ya tiene algoritmos de decisión que tal vez un ser humano no entienda o no es capaz de ver así que si la IA tomó la decisión yo creo que sería la correcta.,negativo,2
15,Entre un poco de ambas porque tal vez por ahí se cuelgan contraseñas o cosas así tal vez se llevan un registro y tal vez no pero sería un poco cómodo.,neutro,3
16,Aunque no creo que sea posible yo me sentiría muy raro. Porque una intelencia artificial nunca va a poder entender o sobre pensar muchas cosas.,negativo,2
17,Sí porque la inteligencia artificial da datos exactos y no se equivoca.,neutro,3
18,Pues es una ayuda para la humanidad para tener todo bien controlado.,positivo,5
19,Pues tendría un poco de duda porque no estaría 100% seguro viajar en manos de una IA.,neutro,3
20,Confiaría totalmente porque la IA está programada para dar lo exacto.,positivo,5
21,Pues estando la IA de por medio se supone que ya analizó todo y no se equivoca.,neutro,3
22,Me deprimiría porque pues me faltaría algo que detectó que no soy apto para eso.,negativo,2
23,Es una parte protegida y otra parte invadida porque se supone que todo debe ser privado para el ser humano.,negativo,1
24,En las amistades yo pienso que ahí sí no sería tan probable que una IA participara porque simplemente uno escoge los amigos y las amistades.,neutro,3
25,Sí me sentiría seguro porque se supone que la inteligencia artificial está diseñada a base de órdenes algoritmos bien estructurados.,neutro,3
26,Yo creo que representa más beneficios para la humanidad porque como dije anteriormente la inteligencia artificial está diseñada a base de algoritmos bien estructurados para obedecer órdenes.,positivo,5
27,No pues no pensaría en el peor escenario estaría relajado porque la inteligencia artificial hasta cierto punto recibe órdenes el destino hacia donde queremos llegar hacia donde queremos detenernos etc.,negativo,1
28,Pues ahí sí dudaría porque la inteligencia artificial nada más recibe órdenes y no siente emociones como el ser humano.,negativo,2
29,Pues ahora sí que me sentiría confiable detrás de la inteligencia artificial.,neutro,3
30,Ahí sí me molestaría un poco porque la inteligencia artificial ahora sí que no estaría interpretando las emociones humanas.,neutro,3
31,Por una parte me sentiría protegido porque hasta cierto punto la inteligencia artificial se supone que guarda toda la información secreta. Y por otra parte igual me sentiría inseguro porque se supone que la privacidad debe estar bien guardada.,negativo,2
32,Pues me sentiría un poco incómodo porque igual la inteligencia artificial no interpreta emociones humanas pero también me sentiría algo confiable porque la inteligencia artificial a base de voces o a base de algoritmos. Así que te ayuda a encontrar personas que se encuentran buscando amistades pues vaya.,neutro,3
33,En cuestión de salud no porque la inteligencia artificial también puede llegar a tener errores en las otras cuestiones. Porque está diseñada para hacer pues ahora sí que lo más exacta posible sin embargo en cuestiones de salud como está en constante actualización pues yo desde mi punto de vista no hay como que una persona vaya estudiando directamente entre paciente y este servicio del salud,neutro,3
34,Representa a cierto punto más beneficios además de que te ayuda a facilitar la vida y muchas cuestiones dentro de.,positivo,4
35,No pensaría totalmente en el peor escenario pero pues no me sentiría cómoda ni completamente seguro de viajar en algo así.,negativo,2
36,Dudaría y tendría mucha inseguridad en si el tratamiento sería bueno o no.,negativo,2
37,Pues hasta cierto punto bien porque al final de cuentas pues tiene diferentes rasgos y rangos que son los que te ayudan a determinar ciertos puntos.,neutro,3
38,Confundida porque también la IA puede llegar a tener errores hasta cierto punto y pues uno también tendría como que esa duda del por qué sí o por qué no.,neutro,3
39,Pues ahora sí que ahí sería protegido por una parte porque es una ventaja pero también por la otra no porque estaría invadiendo mi privacidad.,neutro,3
40,Pues hasta cierto punto podría ayudar porque a veces uno también es inseguro de sí mismo pero sentimentalmente una inteligencia artificial no puede pensar igual que en un humano.,neutro,3
41,Pues de manera personal me sentiría un poco más seguro ya que la inteligencia artificial cuenta con más conocimiento con respecto a esas áreas y pues yo como tengo ese déficit de conocimiento me apoyaré en mis decisiones de manera clara,neutro,3
42,Puede presentar varios beneficios en el área de facilitar las cosas pero en el ambiente laboral la ISIS parecería un déficit para todo el personal que trabaja.,neutro,3
43,Yo me relajaría en parte pero también tendría unos estados de alerta para poder identificar en qué momento la inteligencia artificial podría dejar de funcionar y pierde control de vehículo.,negativo,2
44,Me generaría duda ya que no hay como que un antecedente que haya hecho la inteligencia artificial y por lo tanto pues no me confiaría tanto de eso. ¿Qué realizará en sí?,negativo,2
45,Eso me generaría algo de conflicto ya que no hay como que una persona que me sé como que limitando eso ese préstamo digamos así y sí me generaría algo de desconfianza eso.,negativo,2
46,Aceptaría la opinión porque si también yo checaría ese punto me analizaría primero a mí mismo si es que soy capaz de cumplir con un trabajo y si no pues yo recuerdo la inteligencia artificial para hacerle la misma pregunta.,neutro,3
47,Me sentiría invadido ya que no estaré respetando lo que es la privacidad entre dos personas o incluso más.,negativo,2
48,Podría beneficiarme y darme algo de alegría pero también generaría desconfianza por lo mismo de que no hay una persona que me esté supervisando o que me pueda evaluar si soy adecuado para recibir esos beneficios.,neutro,3
49,Pues sentiría que estoy perdiendo mi dependencia.Porque al estar dejando mis decisiones personales hacía una a ella no seguía lo mismo seguía como que me están controlando.,negativo,2
50,Depende del uso que se le dan. Pongamos que si quieren sacar información de una persona pues si la inteligencia artificial tiene acceso a internet puede buscarla y lo que tal vez la persona se tarda ya meses o años de la inteligencia artificial lo puede encontrar en cuestión de segundos o minutos.,neutro,3
51,Pues a la vez me relajaría pero a la vez pensaría en el peor escenario porque no puede estar fiel o puede fallar en el intento.,negativo,2
52,Pues si estoy en una situación de muerte a lo mejor podría confiar.,neutro,3
53,Pues dependiendo yo siento que si no debo y he mantenido un buen historial no tengo el por qué preocuparme.,neutro,3
54,Pues no le quiegué bien. Porque pues yo sé lo que puedo hacer y no porque una inteligencia artificial me de su opinión significa que no puede.,negativo,2
55,Invadido porque no hace quien le llegue esa información.,negativo,1
56,Un miedo porque tal vez no ve mi situación y siente que estoy bien y no me dan el apoyo por eso.,negativo,2
57,Pues me sentiría seguro ya que la inteligencia artificial puede abarcar un montón de tipo de información y en base a esa información puede dar buenas opciones. También que analizan varios artículos científicos y fuentes de información donde está verificada.,neutro,3
58,Representa más beneficios ya que gracias a esta inteligencia artificial podemos consultar más dudas que anteriormente no podríamos hacer además que nos reduce significativamente tiempo en buscar información específica o también realizar proyectos más compuejos.,positivo,5
59,Pues me sentiría un poquito con miedo pues porque la inteligencia artificial no llega al punto absoluto de que pueda realizar todo automáticamente sino que necesita una supervisión para que funcione.,negativo,2
60,Pues dependiendo el tiempo de enfermedad me sentiría más seguro pues ya que esta inteligencia artificial tiene información derivada de varias fuentes además que puede dar un tratamiento en específico dependiendo que tengamos.,neutro,3
61,Pues me sentiría bien pues porque no habría otro factor que intervendria en eso sino que la inteligencia artificial iría directo al punto con base a los datos que necesito o que requiero para ese préstamo.,neutro,3
62,Pues siento que estaría más porque la inteligencia artificial nada más evaluaría alguno rasgo superficial mientras que no evaluaría otro rasgo más específico de la persona ya que algunas personas pueden tener más especialidades o más potencial en otras cosas que podrían ayudar mejor al trabajo.,negativo,2
63,Me sentiría invadido porque la información la guardaría la IA y dependiendo del tipo de personas a cuales pueda manejar esa información podría ocupar para mi contra. Además que si ocurre un hackeo o roban datos de esa información podrían usar en mi contra.,negativo,2
64,Pues tranquilidad pues porque nada más se evalúa los rasgos de que una persona para ver si se da ese tipo de apoyo si es apto o no apto para tener.,positivo,4
65,Pues yo me sentía muy bien ya que ahorita en esta época la inteligencia artificial pues nos ayuda a ciertas cosas.,positivo,4
66,Pues nos ayuda a resolver unas problemáticas ya sea en la vida cotidiana o estudiantil.,positivo,4
67,Pues me relajaría porque sé que ahorita por ejemplo el Google Maps pues te puede guiar y saber la dirección. Depende pues de uno donde maneje esa dirección. Tiene la ruta correcta aunque sí pondría atención en la temporada de ir en el transporte.,neutro,3
68,Pues la verdad que yo sí confiaría porque por ejemplo yo ahorita ha sido mi chat GPT que si me siento mal le escribo y me da la receta y pues la verdad sí me ha ayudado bastante.,neutro,3
69,No ahí sí yo pues confiaría en una persona porque dependiendo de mis cuentas cómo vayan puede que haya una equivocación así que no confería tanto ahí en eso.,negativo,2
70,Pues sí un poquito mal porque pues ahora sí que la inteligencia sabe más que uno pero pues yo sí me sentía un poquito mal.,neutro,3
71,Un poquito invadida porque no sé quién es el que está detrás de esa inteligencia artificial y a veces son cosas muy personales que pues no confiaría tanto.,negativo,2
72,Pues ahí sí dudas porque pues no sabemos bueno por ejemplo yo algunas veces lo he hecho que estoy respondiendo algunas preguntas y las meto a la IA y pues realmente yo no las respondo así que no. Confusa porque digo o sea sí sé pero no sé tanto cómo la inteligencia.,negativo,2
73,Me sentiría bien pues porque creo que como soy de la carrera de computación es algo normal dejar esos temas y básicamente me sentiría a gusto.,neutro,3
74,Yo creo que tiene unas ventajas y desventajas tanto buenas y malas entonces tanto nuestros datos personales pueden estar ahí y es algo peligroso pero pues sí ya no sé qué decir. Sí considero que es algo malo o en un futuro.,neutro,3
75,Definitivamente pensaría el peor escenario porque no a veces hasta los humanos cometen errores entonces una máquina está más peligroso.,negativo,1
76,Tenía un poco porque hay casos donde luego buscas en Google que tienes y te manda lo que no es entonces no confiarías.,negativo,2
77,Es como la anterior pregunta no me confiaría del todo y buscaría una persona que sí sabe.,negativo,2
78,No me la tomaría a pecho porque es una opinión de la IA y hasta ahí no dudaría de mis capacidades.,negativo,2
79,Invadida porque si uno protege esos datos es por algo y no me gustaría que alguien detrás lehiera como las conversaciones y todo eso.,negativo,2
80,Igual no me la tomaría a pecho y evaluar con una persona que sí sepa del tema y no confiar tanto en la inteligencia artificial.,negativo,2
81,Pues a la vez sería raro y sería como que a veces las decisiones a veces son propias pero a veces las puedes dejar a mano de la IA depende de la confianza que le tengas.,neutro,3
82,Ambas porque a veces ya están habiendo más creaciones y a veces hay algunos trabajos que se han reemplazado ese sería un riesgo para la humanidad y a la vez una ayuda porque sirve demasiado que la inteligencia artificial ayude.,negativo,2
83,Pues si viaja a corta distancia me relajaría pero si fuera larga así muy largo pues sí me preocuparía.,neutro,3
84,Pues a la vez trataría de confiar a la vez dudaría.No sé. a veces te dan respuestas raras.,negativo,2
85,Pues a la vez me haría desconfianza porquue y a la vez confianza pero pues no sé. Mal porque no sabría si en verdad está bien o no.,negativo,2
86,Mal también. Pero a la vez bien porque pues según yo están programadas las inteligencias artificiales para saber lo que tienes que hacer y así.,neutro,3
87,Invadida. Porque es raro que escuchen todas tus conversaciones.,negativo,1
88,Pues si me trata de ayuda estaría bien porque a veces se necesitan apoyos pero a la vez depende también de cuál sea el trato de la inteligencia artificial.,neutro,3
89,Con un poco de duda sobre las decisiones que voy a tomar en base a los modelos que se hayan utilizado de la inteligencia artificial.,positivo,4
90,Yo creo que beneficios ya que complementan ciertas actividades y también ayudan a tomar ciertas decisiones ya sea como asistentes no dejar como tal la decisión completamente a su... como decirlo a su juicio o a su disposición yo creo que son muy buenas como asistentes.,positivo,4
91,Yo me relajaría debido a que por ejemplo empresas como Tesla tienen impermanentados algoritmos como son yo lo que están específicamente entrenados para visualizar objetos y obstáculos en el camino y pues han demostrado que tienen muy buen desempeño a la hora de manejar un vehículo de manera autónoma.,positivo,4
92,Yo creo que sí dudaría ya que debido a incluso los médicos llegan a tener a veces ciertos errores de diagnóstico pues una inteligencia artificial a veces tiene ciertos enfoques que se centran solamente en detectar algo y se quedan estancadas en eso.,neutro,3
93,Yo creo que sería algo muy automatizado y sin como decirlo sin una decisión humana por detrás y sería más algo por lógico debido a tu historial ya que la guía es muy radical en cuanto a tomar decisiones y sería solamente un sí o un no y no tendría como los humanos que tienen por así decirlo capacidad de decir tiene por ejemplo no tiene muy buen historial crediticio pero tiene ciertas cosas que si lo acreditan a tener un préstamo.,neutro,3
94,Yo creo que sería un poco injusto ya que ese tipo de cuestiones si se va a utilizar la inteligencia artificial deberían ser más utilizadas como asistentes y no dejar un enfoque que tomen completamente la decisión.,neutro,3
95,Ambas cosas ya que sí por seguridad pues está bien ya que para pedir que todo esté en base a las reglas y términos de que tu firmaste cuando te registraste en la red social o en la aplicación que estás utilizando pero sí un poco invadido ya que se pierde la privacidad.,neutro,3
96,Un poco de desconfianza ya que pues como bien las guías son muy radicales en cuanto tomar decisiones yo creo que es mejor tener una valoración humana y una opinión humana y es mejor continuar como asistente de la inteligencia artificial.,neutro,3
